id,firstName,lastName,maidenName,age,gender,email,phone,username,password,birthDate,image,bloodGroup,height,weight,eyeColor,hair,ip,address,macAddress,university,bank,company,ein,ssn,userAgent,crypto,role
11,Liam,Garcia,,30,male,liam.garcia@x.dummyjson.com,+92 870-217-6201,liamg,liamgpass,1995-6-6,https://dummyjson.com/icon/liamg/128,AB-,162.32,93.16,Violet,"{'color': 'Red', 'type': 'Wavy'}",56.201.85.9,"{'address': '576 Fifth Street', 'city': 'Denver', 'state': 'South Dakota', 'stateCode': 'SD', 'postalCode': '57252', 'coordinates': {'lat': -66.218177, 'lng': -145.340165}, 'country': 'United States'}",31:9a:28:8b:99:6c,Ohio State University,"{'cardExpire': '12/29', 'cardNumber': '3614993744940956', 'cardType': 'Diners Club International', 'currency': 'USD', 'iban': 'DE65581882748067758114'}","{'department': 'Services', 'name': 'Considine - Torp', 'title': 'Web Developer', 'address': {'address': '27 Cedar Street', 'city': 'Philadelphia', 'state': 'Connecticut', 'stateCode': 'CT', 'postalCode': '79574', 'coordinates': {'lat': -81.841588, 'lng': 31.79423}, 'country': 'United States'}}",326-604,933-784-949,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36","{'coin': 'Bitcoin', 'wallet': '0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a', 'network': 'Ethereum (ERC20)'}",moderator
12,Mia,Rodriguez,,25,female,mia.rodriguez@x.dummyjson.com,+49 989-461-8403,miar,miarpass,2000-8-4,https://dummyjson.com/icon/miar/128,O-,188.08,56.03,Blue,"{'color': 'Purple', 'type': 'Wavy'}",11.72.253.90,"{'address': '1627 Sixth Street', 'city': 'Jacksonville', 'state': 'West Virginia', 'stateCode': 'WV', 'postalCode': '41810', 'coordinates': {'lat': 24.857497, 'lng': -34.865429}, 'country': 'United States'}",53:d7:a4:6:1e:58,William & Mary,"{'cardExpire': '02/29', 'cardNumber': '343932350909214', 'cardType': 'American Express', 'currency': 'CAD', 'iban': 'DE77118774979880310165'}","{'department': 'Accounting', 'name': 'Miller, Schowalter and Wisozk', 'title': 'Business Analyst', 'address': {'address': '1039 Washington Street', 'city': 'Philadelphia', 'state': 'New Jersey', 'stateCode': 'NJ', 'postalCode': '57518', 'coordinates': {'lat': 85.455933, 'lng': 164.246103}, 'country': 'United States'}}",754-660,749-524-124,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36","{'coin': 'Bitcoin', 'wallet': '0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a', 'network': 'Ethereum (ERC20)'}",moderator
13,Noah,Hernandez,,41,male,noah.hernandez@x.dummyjson.com,+49 393-605-6968,noahh,noahhpass,1984-6-5,https://dummyjson.com/icon/noahh/128,AB+,188.62,69.49,Brown,"{'color': 'Red', 'type': 'Curly'}",169.154.126.57,"{'address': '1413 Maple Street', 'city': 'New York', 'state': 'North Dakota', 'stateCode': 'ND', 'postalCode': '73696', 'coordinates': {'lat': -25.0377, 'lng': -151.70469}, 'country': 'United States'}",d4:fe:ae:8f:eb:a3,New York University (NYU),"{'cardExpire': '03/30', 'cardNumber': '6262462852322850', 'cardType': 'UnionPay', 'currency': 'PKR', 'iban': 'DE13437032020581217601'}","{'department': 'Engineering', 'name': 'Botsford, Marquardt and Roberts', 'title': 'Database Administrator', 'address': {'address': '62 Third Street', 'city': 'Seattle', 'state': 'Oregon', 'stateCode': 'OR', 'postalCode': '83474', 'coordinates': {'lat': 19.490447, 'lng': -13.173207}, 'country': 'United States'}}",877-628,660-847-389,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36","{'coin': 'Bitcoin', 'wallet': '0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a', 'network': 'Ethereum (ERC20)'}",moderator
14,Charlotte,Lopez,Martinez,37,female,charlotte.lopez@x.dummyjson.com,+44 373-953-5028,charlottem,charlottempass,1988-6-8,https://dummyjson.com/icon/charlottem/128,AB-,178.92,82.46,Brown,"{'color': 'Gray', 'type': 'Kinky'}",119.103.95.60,"{'address': '208 Second Street', 'city': 'Columbus', 'state': 'Ohio', 'stateCode': 'OH', 'postalCode': '42044', 'coordinates': {'lat': -44.443762, 'lng': -151.420561}, 'country': 'United States'}",f6:ff:37:aa:6c:f1,Northeastern University,"{'cardExpire': '12/27', 'cardNumber': '3634388457177035', 'cardType': 'Diners Club International', 'currency': 'PKR', 'iban': 'DE54092147842698685963'}","{'department': 'Accounting', 'name': 'Zulauf and Sons', 'title': 'Chief Executive Officer', 'address': {'address': '569 Jefferson Street', 'city': 'Los Angeles', 'state': 'Montana', 'stateCode': 'MT', 'postalCode': '17779', 'coordinates': {'lat': -18.371256, 'lng': 22.566258}, 'country': 'United States'}}",364-782,255-491-479,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36","{'coin': 'Bitcoin', 'wallet': '0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a', 'network': 'Ethereum (ERC20)'}",moderator
15,William,Gonzalez,,33,male,william.gonzalez@x.dummyjson.com,+81 905-252-7319,williamg,williamgpass,1992-3-27,https://dummyjson.com/icon/williamg/128,B-,173.21,82.41,Hazel,"{'color': 'Gray', 'type': 'Curly'}",250.2.241.204,"{'address': '31 Maple Street', 'city': 'San Jose', 'state': 'Utah', 'stateCode': 'UT', 'postalCode': '78243', 'coordinates': {'lat': 8.152876, 'lng': 113.29799}, 'country': 'United States'}",f5:68:28:f9:ec:89,Tufts University,"{'cardExpire': '05/30', 'cardNumber': '6228256225004929', 'cardType': 'UnionPay', 'currency': 'PKR', 'iban': 'DE63711022986572448914'}","{'department': 'Marketing', 'name': 'Spinka - Dickinson', 'title': 'Software Architect', 'address': {'address': '1538 Eighth Street', 'city': 'San Jose', 'state': 'Missouri', 'stateCode': 'MO', 'postalCode': '29673', 'coordinates': {'lat': 24.169361, 'lng': -29.395167}, 'country': 'United States'}}",830-515,690-544-755,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36","{'coin': 'Bitcoin', 'wallet': '0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a', 'network': 'Ethereum (ERC20)'}",moderator
16,Avery,Perez,,26,female,avery.perez@x.dummyjson.com,+61 731-431-3457,averyp,averyppass,1999-3-10,https://dummyjson.com/icon/averyp/128,O-,172.68,93.9,Brown,"{'color': 'Green', 'type': 'Curly'}",131.217.4.214,"{'address': '1125 First Street', 'city': 'Columbus', 'state': 'Iowa', 'stateCode': 'IA', 'postalCode': '30973', 'coordinates': {'lat': 12.789127, 'lng': 85.792598}, 'country': 'United States'}",b3:ff:f3:c5:37:46,Harvard University,"{'cardExpire': '08/29', 'cardNumber': '378024038311910', 'cardType': 'American Express', 'currency': 'USD', 'iban': 'DE42403186906981858976'}","{'department': 'Accounting', 'name': 'Herzog Inc', 'title': 'Database Administrator', 'address': {'address': '183 Maple Street', 'city': 'New York', 'state': 'Rhode Island', 'stateCode': 'RI', 'postalCode': '45238', 'coordinates': {'lat': -53.318189, 'lng': 105.835271}, 'country': 'United States'}}",348-493,679-523-686,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36","{'coin': 'Bitcoin', 'wallet': '0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a', 'network': 'Ethereum (ERC20)'}",user
17,Evelyn,Sanchez,,38,female,evelyn.sanchez@x.dummyjson.com,+1 623-880-6871,evelyns,evelynspass,1987-10-13,https://dummyjson.com/icon/evelyns/128,B+,184.08,83.15,Violet,"{'color': 'Blue', 'type': 'Curly'}",87.114.135.146,"{'address': '1170 Lincoln Street', 'city': 'San Diego', 'state': 'Wyoming', 'stateCode': 'WY', 'postalCode': '43423', 'coordinates': {'lat': -83.31484, 'lng': 11.768071}, 'country': 'United States'}",f8:e5:bd:43:bc:d8,Washington University in St. Louis,"{'cardExpire': '01/29', 'cardNumber': '3514443781649095', 'cardType': 'JCB', 'currency': 'GBP', 'iban': 'GB74239MLVNQ0UB9ANTFRM'}","{'department': 'Support', 'name': 'Predovic - Johns', 'title': 'Chief Financial Officer', 'address': {'address': '1802 Ninth Street', 'city': 'San Diego', 'state': 'Minnesota', 'stateCode': 'MN', 'postalCode': '89416', 'coordinates': {'lat': 29.034592, 'lng': -78.004598}, 'country': 'United States'}}",604-817,689-332-644,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36","{'coin': 'Bitcoin', 'wallet': '0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a', 'network': 'Ethereum (ERC20)'}",user
18,Logan,Torres,,32,male,logan.torres@x.dummyjson.com,+81 507-434-8733,logant,logantpass,1993-10-26,https://dummyjson.com/icon/logant/128,A+,190.04,72.43,Green,"{'color': 'Green', 'type': 'Curly'}",155.98.15.162,"{'address': '907 Seventh Street', 'city': 'Columbus', 'state': 'Arkansas', 'stateCode': 'AR', 'postalCode': '78805', 'coordinates': {'lat': -64.846516, 'lng': 174.775744}, 'country': 'United States'}",40:d:5c:1:7d:bf,University of Illinois--Urbana-Champaign,"{'cardExpire': '04/30', 'cardNumber': '6258651210557142', 'cardType': 'UnionPay', 'currency': 'EUR', 'iban': 'ES1171429445321693077621'}","{'department': 'Training', 'name': 'Jast - Nader', 'title': 'Data Analyst', 'address': {'address': '947 Main Street', 'city': 'Denver', 'state': 'Minnesota', 'stateCode': 'MN', 'postalCode': '71896', 'coordinates': {'lat': -24.654063, 'lng': -147.255268}, 'country': 'United States'}}",576-218,806-639-934,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36","{'coin': 'Bitcoin', 'wallet': '0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a', 'network': 'Ethereum (ERC20)'}",user
19,Abigail,Rivera,,29,female,abigail.rivera@x.dummyjson.com,+91 228-363-7806,abigailr,abigailrpass,1996-10-11,https://dummyjson.com/icon/abigailr/128,B+,186.39,74.61,Violet,"{'color': 'Blue', 'type': 'Kinky'}",19.183.240.94,"{'address': '996 Oak Street', 'city': 'Chicago', 'state': 'New Mexico', 'stateCode': 'NM', 'postalCode': '11407', 'coordinates': {'lat': 44.321308, 'lng': -3.723903}, 'country': 'United States'}",1d:a6:58:2a:e5:e4,California Institute of Technology (Caltech),"{'cardExpire': '01/27', 'cardNumber': '6011399019022417', 'cardType': 'Discover', 'currency': 'EUR', 'iban': 'IT11QP2B5J81QM1FBX029VI5DD68O'}","{'department': 'Human Resources', 'name': 'Prohaska - Thiel', 'title': 'Business Analyst', 'address': {'address': '1402 Adams Street', 'city': 'Austin', 'state': 'Wisconsin', 'stateCode': 'WI', 'postalCode': '51456', 'coordinates': {'lat': 25.672938, 'lng': -76.54967}, 'country': 'United States'}}",173-637,655-823-929,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edge/97.0.1072.76 Safari/537.36","{'coin': 'Bitcoin', 'wallet': '0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a', 'network': 'Ethereum (ERC20)'}",user
20,Jackson,Evans,,35,male,jackson.evans@x.dummyjson.com,+44 468-628-6686,jacksone,jacksonepass,1990-11-30,https://dummyjson.com/icon/jacksone/128,O-,162.57,74.37,Green,"{'color': 'Red', 'type': 'Straight'}",221.127.144.198,"{'address': '1873 Main Street', 'city': 'New York', 'state': 'Arkansas', 'stateCode': 'AR', 'postalCode': '26600', 'coordinates': {'lat': 34.722451, 'lng': 63.448927}, 'country': 'United States'}",81:14:1:97:88:85,Ohio State University,"{'cardExpire': '07/30', 'cardNumber': '376760688512826', 'cardType': 'American Express', 'currency': 'GBP', 'iban': 'GB27CM0H0MNPXSPDGA0A1O'}","{'department': 'Legal', 'name': 'Kuhlman LLC', 'title': 'Web Developer', 'address': {'address': '1706 First Street', 'city': 'Chicago', 'state': 'Hawaii', 'stateCode': 'HI', 'postalCode': '34725', 'coordinates': {'lat': -80.416937, 'lng': -83.224516}, 'country': 'United States'}}",843-260,248-787-886,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36","{'coin': 'Bitcoin', 'wallet': '0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a', 'network': 'Ethereum (ERC20)'}",user
21,Madison,Collins,,27,female,madison.collins@x.dummyjson.com,+81 259-957-5711,madisonc,madisoncpass,1998-3-7,https://dummyjson.com/icon/madisonc/128,B-,189.28,56.96,Red,"{'color': 'Gray', 'type': 'Curly'}",85.34.1.204,"{'address': '1892 Lincoln Street', 'city': 'Philadelphia', 'state': 'New Jersey', 'stateCode': 'NJ', 'postalCode': '62091', 'coordinates': {'lat': 52.993694, 'lng': 160.486892}, 'country': 'United States'}",13:b0:d0:23:4d:26,University of Pennsylvania,"{'cardExpire': '09/27', 'cardNumber': '5551259848327064', 'cardType': 'Mastercard', 'currency': 'EUR', 'iban': 'ES3893300143587765232049'}","{'department': 'Engineering', 'name': 'Mayer - Smitham', 'title': 'Chief Technology Officer', 'address': {'address': '1438 Main Street', 'city': 'San Diego', 'state': 'Delaware', 'stateCode': 'DE', 'postalCode': '63144', 'coordinates': {'lat': 1.629613, 'lng': 23.232982}, 'country': 'United States'}}",716-166,457-258-950,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36","{'coin': 'Bitcoin', 'wallet': '0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a', 'network': 'Ethereum (ERC20)'}",user
